zip,dir,date,diff
V:/SPOT2/SV04_VG1_S10___RM__20000131214950_20000210230942_CVB_000000_V003.ZIP,1.20000201S10/,2000-02-01,11
V:/SPOT2/SV04_VG1_S10___RM__20000210215725_20000220232014_CVB_000000_V003.ZIP,1.20000211S10/,2000-02-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000220220506_20000229234341_CVB_000000_V003.ZIP,1.20000221S10/,2000-02-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000229222653_20000310235132_CVB_000000_V003.ZIP,1.20000301S10/,2000-03-01,9
V:/SPOT2/SV04_VG1_S10___RM__20000310221004_20000320235915_CVB_000000_V003.ZIP,1.20000311S10/,2000-03-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000320221747_20000331234742_CVB_000000_V003.ZIP,1.20000321S10/,2000-03-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000331220614_20000410235529_CVB_000000_V003.ZIP,1.20000401S10/,2000-04-01,11
V:/SPOT2/SV04_VG1_S10___RM__20000410221402_20000420225144_CVB_000000_V003.ZIP,1.20000411S10/,2000-04-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000420222154_20000430225555_CVB_000000_V003.ZIP,1.20000421S10/,2000-04-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000430222945_20000510230203_CVB_000000_V003.ZIP,1.20000501S10/,2000-05-01,10
V:/SPOT2/SV04_VG1_S10___RM__20000510212736_20000520224516_CVB_000000_V003.ZIP,1.20000511S10/,2000-05-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000520213458_20000531225811_CVB_000000_V003.ZIP,1.20000521S10/,2000-05-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000531212343_20000610224136_CVB_000000_V003.ZIP,1.20000601S10/,2000-06-01,11
V:/SPOT2/SV04_VG1_S10___RM__20000610213128_20000620224921_CVB_000000_V003.ZIP,1.20000611S10/,2000-06-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000620213844_20000630225703_CVB_000000_V003.ZIP,1.20000621S10/,2000-06-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000630214615_20000710230454_CVB_000000_V003.ZIP,1.20000701S10/,2000-07-01,10
V:/SPOT2/SV04_VG1_S10___RM__20000710215406_20000720231244_CVB_000000_V003.ZIP,1.20000711S10/,2000-07-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000720220146_20000731012456_CVB_000000_V003.ZIP,1.20000721S10/,2000-07-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20000801010325_20000810230848_CVB_000000_V003.ZIP,1.20000801S10/,2000-08-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20000810215800_20000820231638_CVB_000000_V003.ZIP,1.20000811S10/,2000-08-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20000820220540_20000831230454_CVB_000000_V003.ZIP,1.20000821S10/,2000-08-21,10
